Product Name,Asin,SKU,Brand,Review Rate,Cost,Shipping Cost,Main Category Id,Sub Category Id,Min Price,Price,Max Price,Desi,Stock,Amazon Commission,Out Of Criteria Reason
PICNIC TIME NFL PITTSBURGH STEELERS ONIVA PORTABLE RECLINING SEAT,B005HOVD6Y,YUZDENE_B005HOVD6Y,PICNIC TIME,4.40,36.00,0.00,,,384.55,439.48,439.48,10,0,17.95,
"AMBESONNE CACTUS BATH MAT, SPRING GARDEN WITH BOHO STYLE BOUQUET OF THORNY PLANTS BLOSSOMS ARROWS FEATHERS, PLUSH BATHROOM DECOR MAT WITH NON SLIP BACKING, 29.5 W X 17.5 W INCHES, MULTICOLOR",B077P4L2L3,YUZDENE_B077P4L2L3,AMBESONNE,4.40,16.99,0.00,,,188.26,215.15,215.15,3,0,8.79,
ACD.CLIP 100XNYLON FENDER CLIPS BODY RIVETS 09-12 POLARIS SPORTSMAN 550 850 XP 7661855,B00MBEC7S6,YUZDENE_B00MBEC7S6,ACD.CLIP,4.60,0.00,,,,102.09,116.68,116.68,2,0,4.76,
"TILOS OSMOS STAND UP PADDLE GRIP SOCKS FOR SUP, SAND, SURF, KITEBOARDING, WINDSURFING(GREY, 3XL - SIZE 14 OR LARGER)",B01G2IZKCQ,YUZDENE_B01G2IZKCQ,TILOS,5.00,0.00,,,,102.09,116.68,116.68,2,0,4.76,
"DUALIT 47153 NEWGEN TOASTER, WHITE",B01B9ON5QQ,YUZDENE_B01B9ON5QQ,DUALIT,4.40,0.00,,,,227.42,259.90,259.90,12,0,10.61,
"MODWAY ARTICULATE OFFICE CHAIR, BLUE",B00S3KC26O,YUZDENE_B00S3KC26O,MODWAY,4.00,0.00,,,,770.14,880.16,880.16,59,0,35.94,
"DECO 79 METAL FILM REELS WALL DECOR, 24"" X 2"" X 19"", BLACK",B00974UFOQ,YUZDENE_B00974UFOQ,DECO 79,4.30,0.00,,,,219.02,250.31,250.31,9,0,10.22,
"LUXPAPER SQUARE INVITATION ENVELOPES | PEEL & PRESS | 6"" X 6"" | LIMELIGHT GREEN | 80LB. TEXT | 250 QTY",B007MECO88,YUZDENE_B007MECO88,LUXPAPER,4.00,0.00,,,,142.93,163.35,163.35,4,0,6.67,
SE TOOLS 990SM SUPER MAGNUM TELESCOPING MAGNET,B005MVB7C2,YUZDENE_B005MVB7C2,SE TOOLS,4.00,0.00,,,,142.93,163.35,163.35,4,0,6.67,
"ABN LADYFOOT ROLLING HEAD 4-PIECE PRY BAR TOOL SET - 6"", 12"", 16"" 20"" INCH - FOR AUTOMOTIVE MACHINERY ALIGNING & PRYING",B075GT43Q5,YUZDENE_B075GT43Q5,ABN,4.50,0.00,,,,142.93,163.35,163.35,4,0,6.67,
HONEY-CAN-DO COMMERCIAL GRADE ADJUSTABLE SHELVING UNIT 5-TIER BLACK SHF-01912,B005FW1XBS,YUZDENE_B005FW1XBS,HONEY-CAN-DO,4.50,0.00,,,,566.00,646.85,646.85,36,0,26.42,
"LIQUI MOLY (2001-12PK) VALVE CLEAN - 150 ML, (PACK OF 12)",B00G4UI1YM,YUZDENE_B00G4UI1YM,LIQUI MOLY,4.70,99.00,0.00,,,609.01,609.01,696.01,5,0,24.87,
"CRAFT AND PARTY - 10 PCS RECTANGULAR TABLECLOTH FOR HOME, PARTY, WEDDING OR RESTAURANT USE (90"" X 156"", BLACK)",B01D5F3Y0E,YUZDENE_B01D5F3Y0E,CRAFT AND PARTY,4.60,35.68,0.00,,,716.82,819.22,819.22,33,0,33.45,
